[root@factory-workspace glideinmonitor]# /usr/bin/python3 /opt/GlideinWMS/glideinmonitor/glideinmonitor/indexer/indexer.py
         4735832 function calls (4735735 primitive calls) in 62.200 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1620(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:435(_mk_bitmap)
       12    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/_collections_abc.py:760(get)
       93    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:234(__next)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/queue.py:34(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:1066(_wait_for_tstate_lock)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:802(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:752(__fspath__)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/copyreg.py:103(_slotnames)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:992(_stop)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1804(_add_action)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1824(parse_args)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/json/__init__.py:299(loads)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1642(_add_action)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1831(parse_known_args)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1419(exists)
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:742(__str__)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/genericpath.py:39(isdir)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1453(_add_action)
        7    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:228(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/json/decoder.py:332(decode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/functools.py:35(update_wrapper)
       18    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/os.py:754(encode)
        4    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/enum.py:977(__and__)
       37    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1363(register)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1227(stat)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        2    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/pathlib.py:1118(_opener)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1870(_parse_known_args)
       52    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:250(match)
       39    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:161(__len__)
       10    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:356(_escape)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        6    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/locale.py:386(normalize)
        8    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_compile.py:447(_simple)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/posixpath.py:100(split)
        8    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:156(__enter__)
       26    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/sre_parse.py:173(append)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:1533(_get_optional_kwargs)
        1    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/threading.py:775(_maintain_shutdown_locks)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       25    0.000    0.000    0.000    0.000 /opt/GlideinWMS/glideinmonitor/glideinmonitor/lib/config.py:83(get)
        3    0.000    0.000    0.000    0.000 /usr/lib64/python3.9/argparse.py:591(_format_args)
